payment_id,order_id,user_id,payment_method,amount,payment_status
PAY000067,ORD000067,USR00456,Net Banking,9611.97,Success
PAY000068,ORD000068,USR01276,Cash on Delivery,116212.32,Success
PAY000069,ORD000069,USR01017,Credit Card,3597.0,Success
PAY000070,ORD000070,USR02344,Cash on Delivery,210350.73,Success
PAY000071,ORD000071,USR00338,UPI,2677.48,Success
PAY000072,ORD000072,USR00879,Debit Card,187206.52,Success
PAY000073,ORD000073,USR01077,UPI,1311.25,Success
PAY000074,ORD000074,USR00792,Debit Card,7558.530000000001,Success
PAY000075,ORD000075,USR02265,Debit Card,2229.45,Success
PAY000076,ORD000076,USR00764,Credit Card,1327.4,Success
PAY000077,ORD000077,USR02236,Cash on Delivery,2630.41,Success
PAY000078,ORD000078,USR00380,Net Banking,6981.809999999999,Success
PAY000079,ORD000079,USR00493,Cash on Delivery,9892.44,Success
PAY000080,ORD000080,USR01181,UPI,13662.92,Success
PAY000081,ORD000081,USR02063,UPI,1365.55,Success
PAY000082,ORD000082,USR00065,Net Banking,9627.28,Success
PAY000083,ORD000083,USR01368,Cash on Delivery,284.52,Success
PAY000084,ORD000084,USR01153,UPI,37359.84,Success
PAY000085,ORD000085,USR02028,Credit Card,29518.04,Success
PAY000086,ORD000086,USR01496,UPI,5257.11,Success
PAY000087,ORD000087,USR01163,Net Banking,6407.98,Success
PAY000088,ORD000088,USR01523,Debit Card,11271.03,Pending
PAY000089,ORD000089,USR00392,UPI,4511.73,Success
PAY000090,ORD000090,USR01699,UPI,6207.02,Success
PAY000091,ORD000091,USR00419,UPI,131840.61,Success
PAY000092,ORD000092,USR02337,Net Banking,10766.24,Success
PAY000093,ORD000093,USR00379,Cash on Delivery,83265.84,Success
PAY000094,ORD000094,USR01797,Cash on Delivery,135689.34,Success
PAY000095,ORD000095,USR02279,UPI,1777.17,Success
PAY000096,ORD000096,USR02089,Debit Card,729.29,Failed
PAY000097,ORD000097,USR02183,Debit Card,1086.27,Pending
PAY000098,ORD000098,USR00201,Cash on Delivery,5749.02,Success
PAY000099,ORD000099,USR01864,Debit Card,5581.5,Success
PAY000100,ORD000100,USR00780,Cash on Delivery,14411.76,Success
PAY000101,ORD000101,USR00503,Credit Card,254236.4,Success
PAY000102,ORD000102,USR02455,Cash on Delivery,8917.8,Refunded
PAY000103,ORD000103,USR01752,Credit Card,148991.4,Success
PAY000104,ORD000104,USR00805,Credit Card,2893.32,Success
PAY000105,ORD000105,USR02147,Debit Card,1712.74,Success
PAY000106,ORD000106,USR01896,Debit Card,98777.98,Success
PAY000107,ORD000107,USR01571,Debit Card,2599.88,Success
PAY000108,ORD000108,USR00961,Debit Card,758.87,Success
PAY000109,ORD000109,USR01486,Net Banking,47866.2,Pending
PAY000110,ORD000110,USR01029,Debit Card,4746.24,Success
PAY000111,ORD000111,USR00503,Credit Card,17038.64,Success
PAY000112,ORD000112,USR00398,Credit Card,185238.8,Success
PAY000113,ORD000113,USR00871,Credit Card,5257.11,Success
PAY000114,ORD000114,USR00393,Credit Card,3496.82,Success
PAY000115,ORD000115,USR00207,UPI,3310.78,Success
PAY000116,ORD000116,USR01039,Debit Card,6635.02,Refunded
PAY000117,ORD000117,USR01882,Cash on Delivery,258753.96,Success
PAY000118,ORD000118,USR01485,Cash on Delivery,5300.57,Success
PAY000119,ORD000119,USR00864,Debit Card,17843.88,Failed
PAY000120,ORD000120,USR00564,Debit Card,11899.62,Success
PAY000121,ORD000121,USR01021,UPI,1614.95,Failed
PAY000122,ORD000122,USR00096,Credit Card,149826.72,Success
PAY000123,ORD000123,USR01924,Cash on Delivery,128432.94,Success
PAY000124,ORD000124,USR01758,Cash on Delivery,7596.960000000001,Success
PAY000125,ORD000125,USR02279,Cash on Delivery,130760.88,Success
PAY000126,ORD000126,USR01679,Debit Card,2622.5,Success
PAY000127,ORD000127,USR00541,UPI,31875.39,Success
PAY000128,ORD000128,USR01060,Net Banking,11271.03,Success
PAY000129,ORD000129,USR01184,Net Banking,10078.04,Success
PAY000130,ORD000130,USR01723,Cash on Delivery,4121.72,Refunded
PAY000131,ORD000131,USR01820,Cash on Delivery,6828.84,Refunded
PAY000132,ORD000132,USR01598,Credit Card,8520.8,Refunded
PAY000133,ORD000133,USR00796,Credit Card,366.78,Success
PAY000134,ORD000134,USR01052,UPI,3253.28,Failed
PAY000135,ORD000135,USR01644,Credit Card,1369.0,Success
PAY000136,ORD000136,USR01364,Cash on Delivery,5121.63,Success
PAY000137,ORD000137,USR01982,UPI,20757.72,Success
PAY000138,ORD000138,USR01355,Debit Card,34090.27,Refunded
PAY000139,ORD000139,USR01664,Net Banking,1207.43,Success
PAY000140,ORD000140,USR01530,Cash on Delivery,1322.24,Success
PAY000141,ORD000141,USR02039,Debit Card,44302.02,Success
PAY000142,ORD000142,USR01497,Cash on Delivery,17896.89,Success
PAY000143,ORD000143,USR02238,UPI,2056.8,Success
PAY000144,ORD000144,USR01409,Net Banking,1138.08,Refunded
PAY000145,ORD000145,USR01401,UPI,4895.6,Success
PAY000146,ORD000146,USR01307,Debit Card,4352.6,Pending
PAY000147,ORD000147,USR00973,Net Banking,4121.72,Pending
PAY000148,ORD000148,USR01769,Cash on Delivery,4008.99,Success
PAY000149,ORD000149,USR01283,Debit Card,1173.84,Success
PAY000150,ORD000150,USR00710,UPI,2086.88,Success
PAY000151,ORD000151,USR01480,UPI,973.34,Success
PAY000152,ORD000152,USR01435,Net Banking,6104.96,Success
PAY000153,ORD000153,USR00649,Credit Card,931.08,Failed
PAY000154,ORD000154,USR00318,Net Banking,1243.06,Success
PAY000155,ORD000155,USR01258,UPI,2672.66,Success
PAY000156,ORD000156,USR00684,UPI,3597.0,Refunded
PAY000157,ORD000157,USR00664,Credit Card,489.42,Success
PAY000158,ORD000158,USR01999,Cash on Delivery,8002.28,Success
PAY000159,ORD000159,USR01632,Net Banking,6257.96,Success
PAY000160,ORD000160,USR01496,Debit Card,476.7,Failed
PAY000161,ORD000161,USR01137,UPI,4844.85,Failed
PAY000162,ORD000162,USR01854,Cash on Delivery,65301.58,Success
PAY000163,ORD000163,USR01521,UPI,95273.64,Success
PAY000164,ORD000164,USR02490,UPI,2238.61,Success
PAY000165,ORD000165,USR00564,Net Banking,12850.8,Success
PAY000166,ORD000166,USR01292,Credit Card,5016.99,Success
PAY000167,ORD000167,USR01637,UPI,8917.8,Success
PAY000168,ORD000168,USR00699,Net Banking,13638.08,Success
PAY000169,ORD000169,USR02161,Cash on Delivery,1436.71,Success
PAY000170,ORD000170,USR00002,Cash on Delivery,1716.62,Success
PAY000171,ORD000171,USR00642,Credit Card,30026.51,Refunded
PAY000172,ORD000172,USR02268,Cash on Delivery,544.9,Success
PAY000173,ORD000173,USR01590,Credit Card,63684.96,Success
PAY000174,ORD000174,USR00855,UPI,60892.34,Success
PAY000175,ORD000175,USR01760,Debit Card,3028.8,Success
PAY000176,ORD000176,USR02433,Debit Card,1038.88,Failed
PAY000177,ORD000177,USR01662,Credit Card,3317.51,Success
PAY000178,ORD000178,USR01154,Cash on Delivery,130603.16,Success
PAY000179,ORD000179,USR01077,Net Banking,28053.4,Success
PAY000180,ORD000180,USR01708,Cash on Delivery,8773.32,Success
PAY000181,ORD000181,USR01696,Cash on Delivery,292141.92,Success
PAY000182,ORD000182,USR01734,Cash on Delivery,3455.54,Refunded
PAY000183,ORD000183,USR01440,Cash on Delivery,5372.48,Success
PAY000184,ORD000184,USR02295,Cash on Delivery,2622.5,Refunded
PAY000185,ORD000185,USR00836,Net Banking,4198.7,Success
PAY000186,ORD000186,USR00203,Credit Card,7994.54,Success
PAY000187,ORD000187,USR00123,Cash on Delivery,28143.36,Refunded
PAY000188,ORD000188,USR00401,Cash on Delivery,2082.32,Success
PAY000189,ORD000189,USR00767,Credit Card,4042.74,Success
PAY000190,ORD000190,USR00294,UPI,1748.91,Success
PAY000191,ORD000191,USR02328,Credit Card,12616.8,Success
PAY000192,ORD000192,USR00198,Cash on Delivery,10981.44,Refunded
PAY000193,ORD000193,USR01931,Debit Card,11089.56,Success
PAY000194,ORD000194,USR02192,UPI,9517.72,Success
PAY000195,ORD000195,USR00609,Debit Card,59069.36,Success
PAY000196,ORD000196,USR01148,Credit Card,58106.16,Success
PAY000197,ORD000197,USR00187,UPI,165283.12,Success
PAY000198,ORD000198,USR01795,Cash on Delivery,1775.69,Refunded
PAY000199,ORD000199,USR00660,Debit Card,3821.28,Success
PAY000200,ORD000200,USR01956,UPI,16182.81,Refunded
PAY000201,ORD000201,USR02451,Debit Card,11072.32,Success
PAY000202,ORD000202,USR01370,Net Banking,10608.93,Success
PAY000203,ORD000203,USR01987,UPI,27276.16,Success
PAY000204,ORD000204,USR01535,Cash on Delivery,102469.5,Success
PAY000205,ORD000205,USR00147,Credit Card,7205.18,Pending
PAY000206,ORD000206,USR01735,UPI,1747.16,Success
PAY000207,ORD000207,USR01844,Cash on Delivery,57044.72,Success
PAY000208,ORD000208,USR00489,UPI,9756.96,Success
PAY000209,ORD000209,USR01960,Credit Card,5050.37,Failed
PAY000210,ORD000210,USR01664,Net Banking,21666.72,Failed
PAY000211,ORD000211,USR02386,UPI,21044.49,Success
PAY000212,ORD000212,USR00641,Debit Card,8002.28,Success
PAY000213,ORD000213,USR01803,Cash on Delivery,30177.2,Pending
PAY000214,ORD000214,USR01970,Debit Card,4540.9,Success
PAY000215,ORD000215,USR02199,Cash on Delivery,80359.58,Success
PAY000216,ORD000216,USR01439,Cash on Delivery,65941.52,Failed
PAY000217,ORD000217,USR01635,Net Banking,1657.4,Success
PAY000218,ORD000218,USR00263,Debit Card,7433.67,Refunded
PAY000219,ORD000219,USR01788,Debit Card,272.45,Success
PAY000220,ORD000220,USR02192,Cash on Delivery,6463.89,Success
PAY000221,ORD000221,USR02394,Cash on Delivery,85787.81999999999,Success
PAY000222,ORD000222,USR00624,UPI,147465.88,Success
PAY000223,ORD000223,USR01017,Cash on Delivery,59069.36,Success
PAY000224,ORD000224,USR00881,Debit Card,2080.56,Success
PAY000225,ORD000225,USR02050,Debit Card,589.21,Refunded
PAY000226,ORD000226,USR01328,UPI,7623.809999999999,Success
PAY000227,ORD000227,USR02302,Cash on Delivery,54357.6,Success
PAY000228,ORD000228,USR00453,Credit Card,1814.52,Success
PAY000229,ORD000229,USR01184,Cash on Delivery,656.58,Refunded
PAY000230,ORD000230,USR02057,Net Banking,10468.2,Success
PAY000231,ORD000231,USR01683,Debit Card,207165.03,Failed
PAY000232,ORD000232,USR02256,Debit Card,3845.56,Success
PAY000233,ORD000233,USR01155,Net Banking,7035.84,Success
PAY000234,ORD000234,USR00404,UPI,337.0,Success
PAY000235,ORD000235,USR02200,Cash on Delivery,2644.48,Failed
PAY000236,ORD000236,USR02102,Credit Card,183998.08,Success
PAY000237,ORD000237,USR01697,Net Banking,82368.4,Refunded
PAY000238,ORD000238,USR00628,UPI,98777.98,Success
PAY000239,ORD000239,USR00587,Debit Card,118899.96,Success
PAY000240,ORD000240,USR01649,Debit Card,784.92,Success
PAY000241,ORD000241,USR01444,Cash on Delivery,1730.68,Success
PAY000242,ORD000242,USR01446,Net Banking,3857.0,Success
PAY000243,ORD000243,USR00104,Debit Card,32647.93,Success
PAY000244,ORD000244,USR00254,Cash on Delivery,109876.32,Success
PAY000245,ORD000245,USR01497,Net Banking,4259.66,Refunded
PAY000246,ORD000246,USR00099,UPI,34762.2,Success
PAY000247,ORD000247,USR02201,Debit Card,1775.69,Success
PAY000248,ORD000248,USR01885,Net Banking,3800.39,Success
PAY000249,ORD000249,USR01920,Net Banking,5646.39,Success
PAY000250,ORD000250,USR00878,Credit Card,5949.56,Success
PAY000251,ORD000251,USR00338,Credit Card,31842.48,Success
PAY000252,ORD000252,USR00957,UPI,11011.95,Success
PAY000253,ORD000253,USR01705,UPI,299653.44,Success
PAY000254,ORD000254,USR00161,Debit Card,3696.67,Success
PAY000255,ORD000255,USR01604,Net Banking,2434.29,Refunded
PAY000256,ORD000256,USR00398,UPI,669.37,Success
PAY000257,ORD000257,USR01301,Cash on Delivery,238.77,Failed
PAY000258,ORD000258,USR00816,Debit Card,6103.91,Success
PAY000259,ORD000259,USR01528,Debit Card,1210.07,Refunded
PAY000260,ORD000260,USR01920,Net Banking,205011.12,Pending
PAY000261,ORD000261,USR01416,UPI,12414.04,Success
PAY000262,ORD000262,USR01159,Debit Card,6125.73,Success
PAY000263,ORD000263,USR01219,UPI,130760.88,Success
PAY000264,ORD000264,USR00401,UPI,15951.76,Success
PAY000265,ORD000265,USR00640,Credit Card,15428.0,Success
PAY000266,ORD000266,USR00460,Credit Card,7975.88,Success
PAY000267,ORD000267,USR00955,Debit Card,7433.67,Success
PAY000268,ORD000268,USR00470,UPI,263766.08,Success
PAY000269,ORD000269,USR01046,Net Banking,18148.53,Success
PAY000270,ORD000270,USR01694,Net Banking,3610.76,Success
PAY000271,ORD000271,USR02086,Debit Card,145166.52,Success
PAY000272,ORD000272,USR02278,Net Banking,1716.62,Success
PAY000273,ORD000273,USR00563,Net Banking,24161.83,Success
PAY000274,ORD000274,USR02486,UPI,71455.23,Success
PAY000275,ORD000275,USR01800,Debit Card,57021.67,Refunded
PAY000276,ORD000276,USR02075,UPI,23933.1,Success
PAY000277,ORD000277,USR00226,Debit Card,2229.45,Success
PAY000278,ORD000278,USR00798,Cash on Delivery,7597.349999999999,Success
PAY000279,ORD000279,USR02332,UPI,30177.2,Success
PAY000280,ORD000280,USR00960,Cash on Delivery,6005.84,Pending
PAY000281,ORD000281,USR01505,Debit Card,43573.99,Success
PAY000282,ORD000282,USR00453,Debit Card,3721.0,Success
PAY000283,ORD000283,USR00816,Net Banking,8475.82,Refunded
PAY000284,ORD000284,USR00659,Net Banking,562.03,Success
PAY000285,ORD000285,USR00547,Debit Card,6167.68,Success
PAY000286,ORD000286,USR01216,Net Banking,66253.06,Failed
PAY000287,ORD000287,USR00017,Cash on Delivery,97952.37,Failed
PAY000288,ORD000288,USR01244,Cash on Delivery,6390.599999999999,Success
PAY000289,ORD000289,USR02206,Credit Card,3403.08,Success
PAY000290,ORD000290,USR01070,Net Banking,502.47,Success
PAY000291,ORD000291,USR02147,Cash on Delivery,7314.22,Success
PAY000292,ORD000292,USR01769,Credit Card,124898.76,Success
PAY000293,ORD000293,USR01061,Cash on Delivery,3541.59,Success
PAY000294,ORD000294,USR02328,UPI,301.02,Pending
PAY000295,ORD000295,USR00302,Cash on Delivery,2768.08,Failed
PAY000296,ORD000296,USR00181,Debit Card,858.31,Refunded
PAY000297,ORD000297,USR00607,Net Banking,5687.26,Pending
PAY000298,ORD000298,USR00700,Debit Card,1686.09,Success
PAY000299,ORD000299,USR00993,Credit Card,11089.56,Success
PAY000300,ORD000300,USR01140,Net Banking,4191.04,Pending
PAY000301,ORD000301,USR00191,Credit Card,153758.34,Success
PAY000302,ORD000302,USR02301,Cash on Delivery,87147.98,Success
PAY000303,ORD000303,USR00981,Cash on Delivery,207165.03,Success
PAY000304,ORD000304,USR02007,UPI,7753.4,Success
PAY000305,ORD000305,USR01185,Credit Card,7205.18,Failed
PAY000306,ORD000306,USR00128,Debit Card,4174.59,Success
PAY000307,ORD000307,USR02066,Credit Card,5566.12,Success
PAY000308,ORD000308,USR01817,UPI,358.05,Success
PAY000309,ORD000309,USR01759,Cash on Delivery,490.56,Failed
PAY000310,ORD000310,USR00570,Net Banking,2942.06,Success
PAY000311,ORD000311,USR01347,UPI,1544.84,Success
PAY000312,ORD000312,USR01896,Cash on Delivery,74719.68,Failed
PAY000313,ORD000313,USR00626,UPI,26491.0,Success
PAY000314,ORD000314,USR01687,UPI,3857.76,Success
PAY000315,ORD000315,USR00155,Credit Card,175787.48,Success
PAY000316,ORD000316,USR01410,Net Banking,5610.76,Success
PAY000317,ORD000317,USR00785,Net Banking,32647.93,Success
PAY000318,ORD000318,USR00246,Debit Card,7526.56,Success
PAY000319,ORD000319,USR01501,Net Banking,4458.9,Success
PAY000320,ORD000320,USR01706,UPI,6108.57,Pending
PAY000321,ORD000321,USR00538,Debit Card,2592.4,Success
PAY000322,ORD000322,USR01891,Credit Card,87147.98,Success
PAY000323,ORD000323,USR01842,Debit Card,221240.61,Success
PAY000324,ORD000324,USR00921,Credit Card,33888.36,Success
PAY000325,ORD000325,USR02456,Credit Card,65295.86,Success
PAY000326,ORD000326,USR00525,UPI,7352.08,Failed
PAY000327,ORD000327,USR01530,UPI,571.22,Success
PAY000328,ORD000328,USR00036,UPI,11777.92,Success
PAY000329,ORD000329,USR00685,Cash on Delivery,206765.1,Success
PAY000330,ORD000330,USR00020,UPI,34762.2,Success
PAY000331,ORD000331,USR02369,Credit Card,72583.26,Failed
PAY000332,ORD000332,USR00400,Net Banking,2519.51,Success
PAY000333,ORD000333,USR00972,Net Banking,1300.45,Success
PAY000334,ORD000334,USR01907,Credit Card,1549.02,Success
PAY000335,ORD000335,USR01167,Credit Card,3534.2,Success
PAY000336,ORD000336,USR01116,Net Banking,5627.64,Success
PAY000337,ORD000337,USR00834,Net Banking,49052.08,Success
PAY000338,ORD000338,USR01824,Credit Card,13924.46,Success
PAY000339,ORD000339,USR01983,Cash on Delivery,8159.68,Success
PAY000340,ORD000340,USR00854,UPI,65886.45,Success
PAY000341,ORD000341,USR00051,Credit Card,12080.18,Success
PAY000342,ORD000342,USR00575,Credit Card,136361.08,Success
PAY000343,ORD000343,USR01149,UPI,14628.44,Success
PAY000344,ORD000344,USR02198,Cash on Delivery,8736.26,Success
PAY000345,ORD000345,USR02362,Cash on Delivery,148893.46,Success
PAY000346,ORD000346,USR02353,Credit Card,632.06,Success
PAY000347,ORD000347,USR01716,UPI,7221.52,Success
PAY000348,ORD000348,USR00682,Debit Card,1436.71,Success
PAY000349,ORD000349,USR00838,Debit Card,223340.19,Success
PAY000350,ORD000350,USR01078,Credit Card,3358.89,Success
PAY000351,ORD000351,USR02492,Credit Card,65568.45,Refunded
PAY000352,ORD000352,USR02312,Net Banking,2685.87,Success
PAY000353,ORD000353,USR01596,Cash on Delivery,586.92,Success
PAY000354,ORD000354,USR00005,UPI,849.16,Success
PAY000355,ORD000355,USR01127,Credit Card,79450.9,Success
PAY000356,ORD000356,USR01220,Debit Card,2631.4,Success
PAY000357,ORD000357,USR00774,Net Banking,1777.17,Success
PAY000358,ORD000358,USR00877,Credit Card,1408.92,Success
PAY000359,ORD000359,USR00992,Credit Card,2452.8,Success
PAY000360,ORD000360,USR00047,Credit Card,1727.77,Success
PAY000361,ORD000361,USR00269,Cash on Delivery,5257.11,Pending
PAY000362,ORD000362,USR00370,Net Banking,8834.2,Success
PAY000363,ORD000363,USR00636,Debit Card,196525.64,Success
PAY000364,ORD000364,USR01130,Credit Card,3597.0,Success
PAY000365,ORD000365,USR01694,Debit Card,9892.44,Success
PAY000366,ORD000366,USR01683,Net Banking,4402.36,Success
PAY000367,ORD000367,USR00657,Debit Card,3821.28,Success
PAY000368,ORD000368,USR00120,Net Banking,5217.0,Pending
PAY000369,ORD000369,USR00831,Cash on Delivery,7514.02,Success
PAY000370,ORD000370,USR01811,Net Banking,1753.16,Refunded
PAY000371,ORD000371,USR01082,Net Banking,12099.02,Success
PAY000372,ORD000372,USR01975,Cash on Delivery,2060.86,Success
PAY000373,ORD000373,USR01370,UPI,12207.82,Success
PAY000374,ORD000374,USR00741,Debit Card,5610.76,Success
PAY000375,ORD000375,USR00117,Cash on Delivery,11540.7,Success
PAY000376,ORD000376,USR01854,UPI,8037.84,Refunded
PAY000377,ORD000377,USR01151,UPI,17600.97,Success
PAY000378,ORD000378,USR01932,UPI,2631.4,Success
PAY000379,ORD000379,USR01013,Debit Card,8820.57,Success
PAY000380,ORD000380,USR01665,Cash on Delivery,5719.6,Success
PAY000381,ORD000381,USR01082,Cash on Delivery,73732.94,Success
PAY000382,ORD000382,USR00634,Debit Card,778.73,Success
PAY000383,ORD000383,USR00513,Credit Card,29543.62,Pending
PAY000384,ORD000384,USR01120,Cash on Delivery,47866.2,Success
PAY000385,ORD000385,USR01142,UPI,65568.45,Success
PAY000386,ORD000386,USR00560,Debit Card,10521.64,Success
PAY000387,ORD000387,USR00488,Net Banking,210705.76,Success
PAY000388,ORD000388,USR00897,Debit Card,1241.44,Success
PAY000389,ORD000389,USR01213,UPI,7221.52,Success
PAY000390,ORD000390,USR00704,UPI,489.42,Success
PAY000391,ORD000391,USR01471,Debit Card,7205.18,Failed
PAY000392,ORD000392,USR00581,Debit Card,4525.74,Success
PAY000393,ORD000393,USR02295,Credit Card,192330.52,Success
PAY000394,ORD000394,USR00154,Cash on Delivery,3052.72,Success
PAY000395,ORD000395,USR01680,Debit Card,1169.96,Success
PAY000396,ORD000396,USR00997,Net Banking,1164.0,Success
PAY000397,ORD000397,USR01244,Cash on Delivery,91664.73,Refunded
PAY000398,ORD000398,USR01093,UPI,15951.76,Success
PAY000399,ORD000399,USR01009,Cash on Delivery,342.25,Success
PAY000400,ORD000400,USR02142,UPI,1479.18,Success
PAY000401,ORD000401,USR01774,Net Banking,187206.52,Success
PAY000402,ORD000402,USR00958,Net Banking,131840.61,Refunded
PAY000403,ORD000403,USR00453,Cash on Delivery,6993.64,Success
PAY000404,ORD000404,USR01228,Debit Card,3008.52,Refunded
PAY000405,ORD000405,USR02266,Cash on Delivery,210350.73,Success
PAY000406,ORD000406,USR02480,UPI,206799.33,Success
PAY000407,ORD000407,USR02389,Debit Card,345.47,Success
PAY000408,ORD000408,USR00551,Cash on Delivery,20886.69,Success
PAY000409,ORD000409,USR01636,Cash on Delivery,17112.03,Success
PAY000410,ORD000410,USR01313,UPI,12202.34,Success
PAY000411,ORD000411,USR01758,Debit Card,22468.72,Failed
PAY000412,ORD000412,USR00357,UPI,223536.21,Success
PAY000413,ORD000413,USR02071,Debit Card,3136.52,Success
PAY000414,ORD000414,USR01786,Debit Card,10651.23,Success
PAY000415,ORD000415,USR01782,Net Banking,220728.4,Success
PAY000416,ORD000416,USR02490,Net Banking,5842.440000000001,Success
PAY000417,ORD000417,USR01632,UPI,4511.73,Success
PAY000418,ORD000418,USR01016,Cash on Delivery,4925.68,Success
PAY000419,ORD000419,USR01349,Cash on Delivery,10808.82,Success
PAY000420,ORD000420,USR00516,Debit Card,3164.16,Refunded
PAY000421,ORD000421,USR00336,Debit Card,298048.28,Success
PAY000422,ORD000422,USR01783,UPI,539.27,Success
PAY000423,ORD000423,USR02306,Net Banking,55182.1,Success
PAY000424,ORD000424,USR00497,UPI,4691.22,Success
PAY000425,ORD000425,USR00896,UPI,21056.94,Success
PAY000426,ORD000426,USR02208,UPI,964.44,Success
PAY000427,ORD000427,USR00852,Net Banking,48065.79,Success
PAY000428,ORD000428,USR01688,Debit Card,9419.76,Success
PAY000429,ORD000429,USR01932,Net Banking,1884.56,Pending
PAY000430,ORD000430,USR02428,Credit Card,184509.08,Refunded
PAY000431,ORD000431,USR01569,Net Banking,10766.24,Failed
PAY000432,ORD000432,USR00957,Net Banking,6959.68,Refunded
PAY000433,ORD000433,USR01637,Net Banking,190677.3,Refunded
PAY000434,ORD000434,USR01292,Cash on Delivery,284.52,Failed
PAY000435,ORD000435,USR01441,Cash on Delivery,119176.35,Success
PAY000436,ORD000436,USR01192,Debit Card,669.96,Success
PAY000437,ORD000437,USR01067,Debit Card,7526.56,Success
PAY000438,ORD000438,USR00285,Debit Card,6383.82,Success
PAY000439,ORD000439,USR02445,Debit Card,236167.2,Failed
PAY000440,ORD000440,USR00012,Credit Card,154335.36,Pending
PAY000441,ORD000441,USR01631,Net Banking,2055.84,Success
PAY000442,ORD000442,USR00754,Credit Card,2276.61,Success
