log_id,product_id,change_quantity,log_type,log_date
LOG000053,PROD0108,50,Return,2025-10-14
LOG000054,PROD0147,18,Return,2025-10-21
LOG000055,PROD0167,44,Return,2025-12-19
LOG000056,PROD0403,24,Stock In,2025-12-13
LOG000057,PROD0078,42,Stock In,2025-10-23
LOG000058,PROD0248,47,Return,2025-09-28
LOG000059,PROD0027,17,Stock In,2025-09-28
LOG000060,PROD0443,26,Stock In,2025-10-04
LOG000061,PROD0383,26,Stock Out,2025-05-28
LOG000062,PROD0361,1,Return,2025-08-20
LOG000063,PROD0216,37,Stock Out,2025-11-29
LOG000064,PROD0080,28,Return,2025-11-12
LOG000065,PROD0383,17,Return,2026-01-10
LOG000066,PROD0135,34,Stock In,2025-11-25
LOG000067,PROD0451,17,Return,2025-11-13
LOG000068,PROD0352,31,Stock In,2025-06-20
LOG000069,PROD0371,18,Return,2026-01-16
LOG000070,PROD0126,49,Stock In,2025-05-17
LOG000071,PROD0352,21,Stock Out,2025-05-08
LOG000072,PROD0476,8,Stock In,2025-11-03
LOG000073,PROD0126,24,Stock In,2025-03-20
LOG000074,PROD0206,27,Stock In,2025-03-05
LOG000075,PROD0359,27,Stock Out,2025-09-15
LOG000076,PROD0493,47,Stock In,2025-11-25
LOG000077,PROD0177,50,Stock In,2025-08-06
LOG000078,PROD0121,4,Return,2025-01-13
LOG000079,PROD0478,46,Stock In,2025-05-10
LOG000080,PROD0111,46,Stock Out,2026-02-05
LOG000081,PROD0494,4,Stock In,2025-04-10
LOG000082,PROD0125,38,Stock In,2025-03-20
LOG000083,PROD0307,32,Stock In,2025-06-08
LOG000084,PROD0008,45,Return,2025-12-22
LOG000085,PROD0345,46,Return,2025-06-19
LOG000086,PROD0376,32,Stock Out,2025-12-06
LOG000087,PROD0458,21,Stock In,2025-10-01
LOG000088,PROD0415,41,Stock Out,2025-03-28
LOG000089,PROD0462,13,Return,2025-12-14
LOG000090,PROD0081,30,Stock Out,2025-07-22
LOG000091,PROD0306,42,Return,2025-09-16
LOG000092,PROD0397,16,Return,2025-05-12
LOG000093,PROD0206,35,Stock In,2025-09-29
LOG000094,PROD0465,38,Stock Out,2025-01-01
LOG000095,PROD0189,13,Return,2025-06-17
LOG000096,PROD0346,23,Stock Out,2025-05-24
LOG000097,PROD0047,44,Stock Out,2025-12-05
LOG000098,PROD0155,4,Stock Out,2025-05-05
LOG000099,PROD0221,45,Stock In,2025-07-01
LOG000100,PROD0095,45,Stock In,2026-01-09
LOG000101,PROD0062,21,Return,2025-12-29
LOG000102,PROD0116,30,Stock In,2025-02-14
LOG000103,PROD0308,36,Stock Out,2025-06-18
LOG000104,PROD0118,25,Stock In,2025-01-29
LOG000105,PROD0198,43,Stock In,2025-03-03
LOG000106,PROD0419,17,Return,2026-01-15
LOG000107,PROD0083,35,Stock In,2025-02-28
LOG000108,PROD0057,8,Stock In,2025-12-28
LOG000109,PROD0413,2,Stock In,2025-04-13
LOG000110,PROD0213,31,Stock Out,2025-03-26
LOG000111,PROD0390,14,Return,2025-08-30
LOG000112,PROD0291,50,Stock Out,2025-11-20
LOG000113,PROD0179,32,Return,2025-11-01
LOG000114,PROD0268,43,Stock Out,2025-03-17
LOG000115,PROD0190,35,Stock Out,2025-10-02
LOG000116,PROD0164,27,Stock In,2025-04-03
LOG000117,PROD0336,15,Stock In,2025-07-03
LOG000118,PROD0203,47,Stock In,2025-02-11
LOG000119,PROD0117,36,Return,2025-04-01
LOG000120,PROD0292,25,Stock In,2025-06-30
LOG000121,PROD0392,38,Stock In,2025-02-14
LOG000122,PROD0008,5,Return,2025-09-08
LOG000123,PROD0417,2,Stock In,2025-03-31
LOG000124,PROD0404,3,Stock In,2025-09-29
LOG000125,PROD0379,22,Return,2025-04-13
LOG000126,PROD0114,30,Stock Out,2026-01-10
LOG000127,PROD0328,39,Stock Out,2025-05-03
LOG000128,PROD0106,28,Stock Out,2025-06-30
LOG000129,PROD0374,19,Stock Out,2025-09-12
LOG000130,PROD0148,35,Return,2025-10-02
LOG000131,PROD0262,15,Stock Out,2026-01-29
LOG000132,PROD0079,17,Stock In,2025-05-18
LOG000133,PROD0210,48,Stock Out,2025-04-04
LOG000134,PROD0132,20,Return,2025-06-01
LOG000135,PROD0171,5,Stock In,2025-10-01
LOG000136,PROD0411,8,Stock In,2025-08-27
LOG000137,PROD0430,49,Return,2025-02-22
LOG000138,PROD0477,18,Stock Out,2025-06-29
LOG000139,PROD0091,49,Stock Out,2025-12-02
LOG000140,PROD0141,15,Return,2025-02-20
LOG000141,PROD0450,16,Stock Out,2025-08-08
LOG000142,PROD0008,31,Return,2026-01-06
LOG000143,PROD0415,28,Return,2026-01-24
LOG000144,PROD0014,27,Return,2025-03-02
LOG000145,PROD0174,28,Stock In,2025-09-10
LOG000146,PROD0247,50,Stock In,2025-02-08
LOG000147,PROD0431,37,Return,2025-06-03
LOG000148,PROD0110,46,Stock Out,2025-10-10
LOG000149,PROD0359,46,Stock In,2025-04-23
LOG000150,PROD0184,38,Stock Out,2025-10-17
LOG000151,PROD0251,6,Stock In,2025-08-30
LOG000152,PROD0110,28,Stock In,2025-01-22
LOG000153,PROD0369,29,Stock Out,2025-06-10
LOG000154,PROD0339,9,Return,2025-04-01
LOG000155,PROD0246,9,Stock In,2025-04-20
LOG000156,PROD0292,18,Return,2025-10-04
LOG000157,PROD0167,13,Return,2026-01-31
LOG000158,PROD0066,40,Stock In,2025-01-07
LOG000159,PROD0237,31,Stock Out,2025-06-13
LOG000160,PROD0015,27,Stock In,2025-07-27
LOG000161,PROD0238,11,Stock In,2025-04-13
LOG000162,PROD0319,44,Return,2025-07-18
LOG000163,PROD0173,16,Return,2025-03-20
LOG000164,PROD0033,39,Stock Out,2025-08-04
LOG000165,PROD0481,31,Stock In,2025-06-16
LOG000166,PROD0165,36,Return,2025-06-16
LOG000167,PROD0086,16,Return,2025-06-11
LOG000168,PROD0352,6,Stock In,2026-02-04
LOG000169,PROD0239,42,Return,2025-10-17
LOG000170,PROD0025,5,Stock Out,2025-03-06
LOG000171,PROD0351,8,Stock Out,2025-04-29
LOG000172,PROD0428,21,Return,2025-10-29
LOG000173,PROD0294,2,Stock Out,2025-09-16
LOG000174,PROD0261,9,Stock In,2025-02-21
LOG000175,PROD0087,16,Stock In,2025-05-04
LOG000176,PROD0323,34,Return,2025-08-12
LOG000177,PROD0403,6,Stock In,2025-06-21
LOG000178,PROD0124,33,Stock In,2025-11-16
LOG000179,PROD0498,20,Stock Out,2025-01-25
LOG000180,PROD0272,19,Stock In,2025-05-30
LOG000181,PROD0007,45,Stock In,2025-11-20
LOG000182,PROD0233,25,Stock Out,2025-09-27
LOG000183,PROD0476,29,Return,2025-05-31
LOG000184,PROD0248,24,Stock In,2025-06-10
LOG000185,PROD0100,16,Stock Out,2025-09-26
LOG000186,PROD0188,14,Stock Out,2025-12-28
LOG000187,PROD0285,17,Stock Out,2025-09-03
LOG000188,PROD0138,3,Stock In,2025-10-07
LOG000189,PROD0370,19,Stock In,2025-10-19
LOG000190,PROD0213,18,Stock Out,2025-11-03
LOG000191,PROD0325,4,Stock Out,2025-07-03
LOG000192,PROD0242,7,Return,2025-06-16
LOG000193,PROD0246,8,Return,2025-03-19
LOG000194,PROD0424,11,Return,2025-03-15
LOG000195,PROD0355,44,Return,2025-12-28
LOG000196,PROD0450,36,Return,2025-06-29
LOG000197,PROD0401,21,Stock Out,2025-07-15
LOG000198,PROD0185,3,Return,2025-02-15
LOG000199,PROD0240,32,Stock Out,2026-01-29
LOG000200,PROD0208,49,Return,2025-09-30
LOG000201,PROD0445,37,Stock In,2025-01-22
LOG000202,PROD0019,41,Stock In,2025-11-23
LOG000203,PROD0414,26,Return,2025-08-31
LOG000204,PROD0385,38,Stock In,2025-10-26
LOG000205,PROD0058,6,Stock In,2025-08-16
LOG000206,PROD0266,18,Stock In,2025-03-11
LOG000207,PROD0288,29,Stock Out,2025-06-08
LOG000208,PROD0495,27,Stock In,2025-08-11
LOG000209,PROD0209,2,Stock Out,2025-12-10
LOG000210,PROD0344,42,Stock Out,2025-09-18
LOG000211,PROD0436,19,Stock Out,2025-10-18
LOG000212,PROD0253,43,Return,2025-09-26
LOG000213,PROD0285,37,Return,2025-06-08
LOG000214,PROD0091,12,Return,2026-01-24
LOG000215,PROD0348,43,Stock Out,2025-02-03
LOG000216,PROD0325,35,Stock In,2025-06-06
LOG000217,PROD0429,44,Return,2025-09-09
LOG000218,PROD0209,19,Stock Out,2025-05-28
LOG000219,PROD0170,25,Stock Out,2025-08-14
LOG000220,PROD0038,5,Return,2025-04-06
LOG000221,PROD0192,32,Stock In,2025-07-25
LOG000222,PROD0002,35,Return,2025-10-25
LOG000223,PROD0464,46,Return,2025-01-19
LOG000224,PROD0334,36,Stock In,2025-10-01
LOG000225,PROD0183,50,Stock Out,2025-12-10
LOG000226,PROD0474,2,Return,2025-03-07
LOG000227,PROD0261,20,Stock In,2025-11-24
LOG000228,PROD0305,7,Return,2025-04-03
LOG000229,PROD0391,16,Return,2025-01-23
LOG000230,PROD0127,14,Stock In,2025-02-24
LOG000231,PROD0179,31,Return,2025-04-07
LOG000232,PROD0031,46,Stock In,2025-08-15
LOG000233,PROD0297,36,Return,2025-01-30
LOG000234,PROD0402,4,Return,2025-03-24
LOG000235,PROD0325,8,Return,2025-11-24
LOG000236,PROD0469,17,Stock In,2025-11-02
LOG000237,PROD0113,13,Return,2025-09-03
LOG000238,PROD0315,46,Stock Out,2025-08-19
LOG000239,PROD0239,24,Stock Out,2025-10-04
LOG000240,PROD0420,22,Stock Out,2025-11-17
LOG000241,PROD0455,22,Stock Out,2025-06-15
LOG000242,PROD0388,4,Stock In,2025-08-11
LOG000243,PROD0399,38,Stock In,2025-02-28
LOG000244,PROD0054,43,Stock Out,2025-02-01
LOG000245,PROD0055,22,Return,2025-03-31
LOG000246,PROD0469,18,Stock In,2025-08-07
LOG000247,PROD0404,20,Stock Out,2025-06-20
LOG000248,PROD0144,22,Return,2025-08-17
LOG000249,PROD0230,20,Stock Out,2025-03-19
LOG000250,PROD0457,37,Stock In,2025-01-17
LOG000251,PROD0469,38,Return,2025-05-27
LOG000252,PROD0237,22,Stock Out,2025-09-25
LOG000253,PROD0211,10,Stock In,2025-03-26
LOG000254,PROD0328,42,Stock Out,2025-03-07
LOG000255,PROD0220,21,Stock Out,2025-10-05
LOG000256,PROD0265,38,Stock Out,2025-11-21
LOG000257,PROD0426,35,Stock Out,2025-09-13
LOG000258,PROD0150,25,Stock In,2025-11-15
LOG000259,PROD0176,19,Stock Out,2025-10-25
LOG000260,PROD0426,47,Stock Out,2025-01-11
LOG000261,PROD0133,38,Stock In,2026-01-01
LOG000262,PROD0415,45,Return,2025-12-31
LOG000263,PROD0344,44,Stock In,2025-04-12
LOG000264,PROD0328,9,Stock Out,2025-12-23
LOG000265,PROD0090,18,Stock Out,2025-02-28
LOG000266,PROD0253,17,Stock In,2025-09-04
LOG000267,PROD0240,39,Stock Out,2025-08-25
LOG000268,PROD0499,36,Stock In,2025-10-25
LOG000269,PROD0456,13,Stock Out,2025-02-25
LOG000270,PROD0070,44,Return,2025-10-20
LOG000271,PROD0364,39,Stock Out,2025-11-03
LOG000272,PROD0096,9,Return,2025-05-30
LOG000273,PROD0043,45,Stock In,2025-02-13
LOG000274,PROD0132,9,Return,2025-05-05
LOG000275,PROD0139,50,Stock In,2025-10-19
LOG000276,PROD0160,38,Return,2025-06-25
LOG000277,PROD0407,14,Return,2025-07-27
LOG000278,PROD0458,31,Stock Out,2025-01-31
LOG000279,PROD0350,17,Return,2025-12-17
LOG000280,PROD0105,26,Stock Out,2025-09-20
LOG000281,PROD0277,27,Stock Out,2025-07-26
LOG000282,PROD0242,17,Stock Out,2025-08-24
LOG000283,PROD0443,36,Stock In,2025-06-28
LOG000284,PROD0157,47,Return,2025-04-15
LOG000285,PROD0252,45,Stock Out,2025-08-12
LOG000286,PROD0173,29,Return,2025-04-05
LOG000287,PROD0342,21,Return,2025-03-05
LOG000288,PROD0325,45,Return,2025-01-12
LOG000289,PROD0046,49,Return,2025-09-24
LOG000290,PROD0481,3,Stock Out,2026-01-02
LOG000291,PROD0200,13,Stock In,2025-09-14
LOG000292,PROD0434,46,Return,2025-08-25
LOG000293,PROD0495,12,Stock In,2025-01-15
LOG000294,PROD0091,24,Stock Out,2025-07-02
LOG000295,PROD0182,37,Stock Out,2026-01-24
LOG000296,PROD0157,20,Return,2025-08-01
LOG000297,PROD0237,8,Return,2025-02-17
LOG000298,PROD0327,17,Stock Out,2025-09-07
LOG000299,PROD0053,3,Stock Out,2025-01-25
LOG000300,PROD0495,23,Stock In,2025-12-01
LOG000301,PROD0421,31,Stock In,2025-08-27
LOG000302,PROD0075,23,Stock In,2025-10-27
LOG000303,PROD0298,40,Stock Out,2025-02-25
LOG000304,PROD0390,50,Return,2025-09-08
LOG000305,PROD0319,38,Stock Out,2025-04-07
LOG000306,PROD0107,23,Return,2025-06-07
LOG000307,PROD0068,46,Stock Out,2025-12-05
LOG000308,PROD0275,21,Stock Out,2025-09-06
LOG000309,PROD0317,39,Stock Out,2026-02-05
LOG000310,PROD0289,26,Stock In,2026-01-24
LOG000311,PROD0304,23,Stock In,2025-07-18
LOG000312,PROD0279,7,Stock In,2025-03-08
LOG000313,PROD0331,13,Stock Out,2025-05-07
LOG000314,PROD0051,8,Stock Out,2025-10-31
LOG000315,PROD0160,12,Stock In,2026-01-04
LOG000316,PROD0301,34,Return,2025-06-11
LOG000317,PROD0177,3,Return,2025-12-19
LOG000318,PROD0354,7,Stock Out,2025-10-26
LOG000319,PROD0091,46,Stock Out,2025-12-03
LOG000320,PROD0310,23,Stock In,2025-06-02
LOG000321,PROD0073,47,Stock In,2025-11-05
LOG000322,PROD0142,8,Stock Out,2025-11-17
LOG000323,PROD0247,7,Return,2025-04-07
LOG000324,PROD0052,21,Stock In,2025-12-17
LOG000325,PROD0304,14,Stock Out,2026-01-07
LOG000326,PROD0203,34,Return,2025-10-09
LOG000327,PROD0483,24,Return,2025-11-09
LOG000328,PROD0003,50,Return,2025-05-21
LOG000329,PROD0371,13,Stock Out,2025-01-29
LOG000330,PROD0147,26,Return,2025-06-19
LOG000331,PROD0064,3,Stock In,2025-02-25
LOG000332,PROD0232,13,Stock In,2025-11-26
LOG000333,PROD0216,35,Return,2025-07-16
LOG000334,PROD0267,19,Return,2025-10-04
LOG000335,PROD0382,27,Return,2025-06-08
LOG000336,PROD0149,31,Stock Out,2025-04-19
LOG000337,PROD0055,24,Stock In,2025-06-03
LOG000338,PROD0171,42,Stock Out,2025-12-13
LOG000339,PROD0034,29,Stock Out,2025-09-12
LOG000340,PROD0230,18,Stock Out,2025-11-23
LOG000341,PROD0021,41,Return,2025-07-20
LOG000342,PROD0472,8,Return,2025-07-30
LOG000343,PROD0016,38,Stock In,2025-03-24
LOG000344,PROD0010,12,Stock Out,2025-10-03
LOG000345,PROD0214,17,Stock In,2026-01-23
LOG000346,PROD0316,25,Stock Out,2025-11-30
LOG000347,PROD0387,23,Stock In,2025-10-12
LOG000348,PROD0200,40,Stock In,2025-08-29
LOG000349,PROD0356,17,Return,2025-02-17
LOG000350,PROD0081,5,Return,2025-06-09
LOG000351,PROD0219,21,Stock In,2025-03-02
LOG000352,PROD0263,5,Return,2025-10-13
LOG000353,PROD0176,33,Stock Out,2025-12-05
LOG000354,PROD0178,5,Return,2025-07-22
LOG000355,PROD0012,10,Return,2025-03-21
LOG000356,PROD0262,10,Stock Out,2025-12-05
LOG000357,PROD0386,46,Stock Out,2026-01-15
LOG000358,PROD0158,48,Stock Out,2025-08-04
LOG000359,PROD0158,11,Stock Out,2025-12-14
LOG000360,PROD0033,9,Stock Out,2025-07-15
LOG000361,PROD0409,46,Stock Out,2025-02-14
LOG000362,PROD0005,37,Return,2025-08-12
LOG000363,PROD0058,4,Stock In,2025-10-02
LOG000364,PROD0466,39,Return,2025-12-20
LOG000365,PROD0374,22,Stock Out,2026-01-08
LOG000366,PROD0368,32,Stock Out,2025-07-28
LOG000367,PROD0221,24,Stock In,2025-05-26
LOG000368,PROD0254,4,Return,2025-04-12
LOG000369,PROD0086,11,Stock Out,2025-01-17
LOG000370,PROD0427,11,Stock In,2025-01-12
LOG000371,PROD0081,29,Stock In,2025-06-26
LOG000372,PROD0413,49,Return,2025-05-16
LOG000373,PROD0439,5,Return,2025-03-10
LOG000374,PROD0402,39,Return,2025-04-26
LOG000375,PROD0449,50,Return,2025-04-22
LOG000376,PROD0068,32,Stock Out,2025-04-14
LOG000377,PROD0048,50,Stock In,2025-07-12
LOG000378,PROD0478,22,Stock Out,2025-08-14
LOG000379,PROD0219,27,Return,2025-06-30
LOG000380,PROD0222,42,Stock Out,2025-05-08
LOG000381,PROD0175,1,Stock In,2025-08-24
LOG000382,PROD0149,40,Return,2025-11-02
LOG000383,PROD0269,14,Stock In,2025-09-05
LOG000384,PROD0240,13,Stock In,2025-02-25
LOG000385,PROD0263,29,Stock In,2025-06-25
LOG000386,PROD0208,29,Stock Out,2025-04-28
LOG000387,PROD0349,16,Stock In,2025-07-28
LOG000388,PROD0140,12,Stock Out,2026-01-11
LOG000389,PROD0321,33,Stock Out,2025-11-23
LOG000390,PROD0207,27,Stock In,2025-03-30
LOG000391,PROD0176,20,Stock In,2025-11-22
LOG000392,PROD0471,29,Return,2025-10-28
LOG000393,PROD0410,34,Return,2025-01-23
LOG000394,PROD0278,41,Return,2025-09-06
LOG000395,PROD0044,25,Stock In,2025-08-21
LOG000396,PROD0331,12,Stock Out,2025-04-14
LOG000397,PROD0396,50,Stock In,2025-01-04
LOG000398,PROD0401,37,Stock Out,2025-06-29
LOG000399,PROD0470,48,Stock Out,2025-04-05
LOG000400,PROD0181,42,Stock In,2025-03-25
LOG000401,PROD0315,29,Stock In,2025-02-07
LOG000402,PROD0472,49,Stock Out,2025-08-08
LOG000403,PROD0198,5,Return,2026-02-02
LOG000404,PROD0204,12,Stock Out,2025-10-08
LOG000405,PROD0428,33,Stock In,2025-12-07
LOG000406,PROD0288,17,Return,2025-10-24
LOG000407,PROD0146,2,Stock In,2025-12-16
LOG000408,PROD0315,21,Stock In,2025-05-09
LOG000409,PROD0081,49,Stock In,2026-01-05
LOG000410,PROD0233,24,Return,2025-03-11
LOG000411,PROD0011,22,Stock Out,2025-08-19
LOG000412,PROD0456,17,Return,2025-08-25
LOG000413,PROD0449,10,Stock In,2025-10-18
LOG000414,PROD0414,16,Return,2025-06-23
LOG000415,PROD0375,9,Stock In,2025-07-17
LOG000416,PROD0190,47,Stock Out,2025-04-27
LOG000417,PROD0197,48,Stock Out,2025-06-12
LOG000418,PROD0088,31,Return,2025-05-21
LOG000419,PROD0081,11,Return,2025-08-04
LOG000420,PROD0164,39,Return,2025-07-24
LOG000421,PROD0153,31,Stock In,2025-05-15
LOG000422,PROD0239,1,Return,2025-01-05
LOG000423,PROD0019,12,Stock In,2025-05-11
LOG000424,PROD0232,31,Stock Out,2025-06-09
LOG000425,PROD0389,35,Stock In,2025-04-10
LOG000426,PROD0460,26,Return,2025-03-09
LOG000427,PROD0357,18,Stock Out,2025-04-19
LOG000428,PROD0351,38,Return,2025-12-26
LOG000429,PROD0187,8,Return,2025-09-08
LOG000430,PROD0290,15,Stock Out,2025-11-14
LOG000431,PROD0354,43,Return,2026-01-31
LOG000432,PROD0388,15,Return,2025-03-27
LOG000433,PROD0359,8,Stock In,2025-05-11
LOG000434,PROD0257,50,Stock In,2025-12-17
LOG000435,PROD0120,47,Stock Out,2025-07-07
LOG000436,PROD0166,26,Stock Out,2025-08-21
LOG000437,PROD0499,5,Return,2025-05-21
LOG000438,PROD0067,48,Stock In,2025-10-26
LOG000439,PROD0429,19,Return,2025-05-15
LOG000440,PROD0164,23,Stock Out,2025-10-31
LOG000441,PROD0239,13,Stock Out,2025-03-10
LOG000442,PROD0273,47,Stock In,2025-01-04
LOG000443,PROD0302,48,Stock Out,2025-03-10
LOG000444,PROD0006,35,Return,2025-12-09
LOG000445,PROD0207,42,Stock Out,2025-12-26
LOG000446,PROD0216,29,Stock In,2025-07-24
LOG000447,PROD0344,17,Stock In,2025-02-25
LOG000448,PROD0415,32,Return,2025-06-01
LOG000449,PROD0088,8,Return,2025-05-14
LOG000450,PROD0171,21,Stock Out,2025-12-14
LOG000451,PROD0419,22,Stock Out,2025-12-10
LOG000452,PROD0293,33,Return,2025-09-28
LOG000453,PROD0480,40,Return,2025-02-20
LOG000454,PROD0336,38,Return,2025-07-06
LOG000455,PROD0170,49,Stock Out,2025-02-07
LOG000456,PROD0265,12,Stock In,2025-12-25
LOG000457,PROD0075,23,Stock In,2025-12-21
LOG000458,PROD0427,18,Stock In,2025-11-10
LOG000459,PROD0334,4,Stock Out,2026-01-20
LOG000460,PROD0045,12,Stock In,2025-01-19
LOG000461,PROD0479,28,Stock In,2025-04-29
LOG000462,PROD0409,19,Stock Out,2026-01-05
LOG000463,PROD0391,48,Return,2025-08-12
LOG000464,PROD0132,10,Return,2026-01-03
LOG000465,PROD0106,30,Stock In,2025-07-01
LOG000466,PROD0023,44,Return,2025-05-12
LOG000467,PROD0259,6,Stock In,2025-11-27
LOG000468,PROD0382,33,Stock In,2025-03-06
LOG000469,PROD0224,28,Stock Out,2025-02-13
LOG000470,PROD0198,17,Stock Out,2025-09-07
LOG000471,PROD0291,8,Stock In,2025-05-22
LOG000472,PROD0115,19,Return,2025-09-10
LOG000473,PROD0156,24,Return,2025-12-27
LOG000474,PROD0048,16,Stock In,2025-01-17
LOG000475,PROD0250,49,Stock Out,2025-01-23
LOG000476,PROD0141,32,Stock Out,2025-12-08
LOG000477,PROD0414,13,Return,2025-05-24
LOG000478,PROD0387,15,Stock Out,2025-11-17
LOG000479,PROD0361,28,Stock In,2025-08-02
LOG000480,PROD0074,34,Return,2025-12-04
LOG000481,PROD0238,25,Return,2025-04-04
LOG000482,PROD0294,4,Stock Out,2025-05-20
LOG000483,PROD0252,11,Stock Out,2025-11-23
LOG000484,PROD0297,3,Stock Out,2025-05-01
LOG000485,PROD0353,45,Return,2025-11-10
LOG000486,PROD0087,17,Return,2025-04-06
LOG000487,PROD0182,1,Return,2025-12-17
LOG000488,PROD0447,48,Stock Out,2025-10-26
LOG000489,PROD0053,9,Stock Out,2025-09-11
LOG000490,PROD0316,23,Stock In,2025-09-16
LOG000491,PROD0283,5,Stock In,2025-09-09
LOG000492,PROD0469,16,Stock In,2025-11-23
LOG000493,PROD0463,18,Stock Out,2025-12-04
LOG000494,PROD0448,23,Stock Out,2025-08-30
LOG000495,PROD0352,30,Stock Out,2026-01-06
LOG000496,PROD0212,45,Stock In,2025-10-20
LOG000497,PROD0362,38,Stock Out,2025-04-07
LOG000498,PROD0094,25,Stock Out,2025-10-27
LOG000499,PROD0482,18,Stock Out,2025-03-05
LOG000500,PROD0495,35,Return,2025-03-30
LOG000501,PROD0238,33,Stock In,2025-08-26
LOG000502,PROD0285,33,Stock In,2025-03-10
LOG000503,PROD0215,30,Stock Out,2025-12-02
LOG000504,PROD0448,7,Stock In,2025-10-18
LOG000505,PROD0091,40,Stock Out,2025-10-26
LOG000506,PROD0301,39,Stock In,2025-09-24
LOG000507,PROD0048,7,Return,2025-05-07
LOG000508,PROD0424,40,Stock Out,2026-01-19
LOG000509,PROD0500,17,Stock Out,2025-04-26
LOG000510,PROD0481,8,Return,2025-07-21
LOG000511,PROD0169,7,Return,2025-02-23
LOG000512,PROD0458,2,Return,2025-06-13
LOG000513,PROD0443,48,Return,2025-08-06
LOG000514,PROD0436,6,Stock In,2025-08-24
LOG000515,PROD0453,49,Return,2025-04-24
LOG000516,PROD0459,18,Return,2025-12-04
LOG000517,PROD0277,21,Stock Out,2026-01-25
LOG000518,PROD0399,1,Stock Out,2025-11-05
LOG000519,PROD0036,28,Stock In,2025-08-23
LOG000520,PROD0149,6,Return,2025-10-15
LOG000521,PROD0254,26,Stock Out,2025-09-12
LOG000522,PROD0479,46,Stock Out,2025-10-13
LOG000523,PROD0156,42,Stock Out,2025-08-12
LOG000524,PROD0164,5,Stock Out,2025-02-22
LOG000525,PROD0418,22,Stock Out,2025-06-24
LOG000526,PROD0236,3,Return,2026-01-30
LOG000527,PROD0127,32,Return,2025-01-21
LOG000528,PROD0248,12,Stock Out,2025-01-11
LOG000529,PROD0132,46,Return,2026-02-04
LOG000530,PROD0146,37,Stock Out,2025-11-13
LOG000531,PROD0082,7,Return,2025-02-23
LOG000532,PROD0432,39,Stock In,2025-09-30
LOG000533,PROD0231,27,Stock In,2025-03-09
LOG000534,PROD0181,4,Return,2025-06-10
LOG000535,PROD0037,42,Return,2025-07-22
LOG000536,PROD0105,27,Stock In,2025-02-14
LOG000537,PROD0056,7,Return,2025-03-25
LOG000538,PROD0402,18,Stock In,2025-09-28
LOG000539,PROD0394,19,Stock Out,2025-03-06
LOG000540,PROD0017,39,Stock In,2025-11-08
LOG000541,PROD0049,19,Stock In,2025-07-02
LOG000542,PROD0405,45,Stock In,2025-06-17
LOG000543,PROD0420,33,Return,2025-07-02
