shipment_id,order_id,tracking_number,carrier,shipment_date
SHP000104,ORD000104,TRK561170260,BlueDart,2025-12-20
SHP000105,ORD000105,TRK188087486,Delhivery,2025-01-26
SHP000106,ORD000106,,,
SHP000107,ORD000107,TRK484339474,BlueDart,2025-08-11
SHP000108,ORD000108,TRK394981280,ExpressBees,2025-12-11
SHP000109,ORD000109,,,
SHP000110,ORD000110,TRK618073432,ExpressBees,2025-08-08
SHP000111,ORD000111,TRK756340981,Delhivery,2025-05-20
SHP000112,ORD000112,,,
SHP000113,ORD000113,TRK720595016,BlueDart,2025-02-10
SHP000114,ORD000114,TRK644583105,FedEx,2025-01-09
SHP000115,ORD000115,TRK420417198,FedEx,2025-11-30
SHP000116,ORD000116,,,
SHP000117,ORD000117,TRK385079576,BlueDart,2025-07-10
SHP000118,ORD000118,TRK840180993,ExpressBees,2025-06-05
SHP000119,ORD000119,,,
SHP000120,ORD000120,,,
SHP000121,ORD000121,,,
SHP000122,ORD000122,TRK862878770,Delhivery,2025-12-30
SHP000123,ORD000123,TRK208761511,FedEx,2025-04-29
SHP000124,ORD000124,TRK684990205,Delhivery,2025-05-26
SHP000125,ORD000125,TRK828410318,BlueDart,2025-01-02
SHP000126,ORD000126,TRK473751224,BlueDart,2025-08-18
SHP000127,ORD000127,TRK171217041,FedEx,2025-10-06
SHP000128,ORD000128,TRK742142904,ExpressBees,2025-06-17
SHP000129,ORD000129,TRK738164670,Delhivery,2025-02-22
SHP000130,ORD000130,,,
SHP000131,ORD000131,,,
SHP000132,ORD000132,,,
SHP000133,ORD000133,TRK541389305,FedEx,2025-05-20
SHP000134,ORD000134,,,
SHP000135,ORD000135,TRK650503223,ExpressBees,2025-11-14
SHP000136,ORD000136,TRK318447662,ExpressBees,2025-08-30
SHP000137,ORD000137,,,
SHP000138,ORD000138,,,
SHP000139,ORD000139,TRK841447343,ExpressBees,2025-11-14
SHP000140,ORD000140,TRK270378635,FedEx,2025-01-10
SHP000141,ORD000141,,,
SHP000142,ORD000142,TRK616315924,ExpressBees,2026-02-03
SHP000143,ORD000143,TRK896658992,BlueDart,2025-10-16
SHP000144,ORD000144,,,
SHP000145,ORD000145,TRK549868137,BlueDart,2025-04-12
SHP000146,ORD000146,,,
SHP000147,ORD000147,,,
SHP000148,ORD000148,TRK251532511,FedEx,2025-10-09
SHP000149,ORD000149,TRK947810123,FedEx,2025-04-16
SHP000150,ORD000150,TRK990213531,Delhivery,2025-06-03
SHP000151,ORD000151,TRK993272863,Delhivery,2025-10-14
SHP000152,ORD000152,TRK672484160,ExpressBees,2025-03-15
SHP000153,ORD000153,,,
SHP000154,ORD000154,TRK731968973,BlueDart,2025-10-02
SHP000155,ORD000155,TRK777899678,FedEx,2026-01-08
SHP000156,ORD000156,,,
SHP000157,ORD000157,TRK162539413,FedEx,2025-10-18
SHP000158,ORD000158,TRK648732039,ExpressBees,2025-11-17
SHP000159,ORD000159,TRK254402702,ExpressBees,2025-07-29
SHP000160,ORD000160,,,
SHP000161,ORD000161,,,
SHP000162,ORD000162,TRK335648772,Delhivery,2025-11-10
SHP000163,ORD000163,TRK620733870,BlueDart,2025-08-27
SHP000164,ORD000164,,,
SHP000165,ORD000165,TRK217683884,BlueDart,2025-10-01
SHP000166,ORD000166,TRK129671906,FedEx,2025-05-02
SHP000167,ORD000167,TRK501272426,Delhivery,2025-10-05
SHP000168,ORD000168,TRK735881027,ExpressBees,2025-08-12
SHP000169,ORD000169,TRK549666079,BlueDart,2025-10-15
SHP000170,ORD000170,TRK112090857,ExpressBees,2025-10-13
SHP000171,ORD000171,,,
SHP000172,ORD000172,TRK276528744,FedEx,2025-11-24
SHP000173,ORD000173,TRK311882514,Delhivery,2025-10-19
SHP000174,ORD000174,TRK342523742,FedEx,2025-03-05
SHP000175,ORD000175,TRK841100092,Delhivery,2025-08-31
SHP000176,ORD000176,,,
SHP000177,ORD000177,TRK751871793,Delhivery,2025-12-19
SHP000178,ORD000178,,,
SHP000179,ORD000179,TRK647170392,BlueDart,2025-11-27
SHP000180,ORD000180,TRK121816340,BlueDart,2025-09-09
SHP000181,ORD000181,TRK396818445,ExpressBees,2026-02-08
SHP000182,ORD000182,,,
SHP000183,ORD000183,,,
SHP000184,ORD000184,,,
SHP000185,ORD000185,TRK578570599,ExpressBees,2025-01-18
SHP000186,ORD000186,TRK860321515,ExpressBees,2025-07-10
SHP000187,ORD000187,,,
SHP000188,ORD000188,TRK363602531,ExpressBees,2025-08-09
SHP000189,ORD000189,TRK263572179,BlueDart,2025-04-04
SHP000190,ORD000190,TRK626923639,Delhivery,2025-07-08
SHP000191,ORD000191,TRK944648031,FedEx,2025-08-24
SHP000192,ORD000192,,,
SHP000193,ORD000193,TRK296998067,FedEx,2025-10-20
SHP000194,ORD000194,TRK238401196,BlueDart,2025-08-24
SHP000195,ORD000195,TRK392770443,BlueDart,2025-07-16
SHP000196,ORD000196,TRK304134451,FedEx,2025-01-15
SHP000197,ORD000197,TRK850308253,Delhivery,2025-12-23
SHP000198,ORD000198,,,
SHP000199,ORD000199,TRK911490170,BlueDart,2025-05-05
SHP000200,ORD000200,,,
SHP000201,ORD000201,TRK625526084,BlueDart,2025-01-14
SHP000202,ORD000202,TRK438909673,Delhivery,2025-02-16
SHP000203,ORD000203,TRK680210434,ExpressBees,2025-03-10
SHP000204,ORD000204,TRK898264005,BlueDart,2025-08-11
SHP000205,ORD000205,,,
SHP000206,ORD000206,TRK865853697,ExpressBees,2026-01-29
SHP000207,ORD000207,,,
SHP000208,ORD000208,TRK871167800,Delhivery,2025-08-23
SHP000209,ORD000209,,,
SHP000210,ORD000210,,,
SHP000211,ORD000211,TRK205092197,ExpressBees,2025-10-24
SHP000212,ORD000212,TRK210186920,ExpressBees,2025-10-16
SHP000213,ORD000213,,,
SHP000214,ORD000214,TRK557428684,Delhivery,2025-07-17
SHP000215,ORD000215,TRK243855788,BlueDart,2025-01-09
SHP000216,ORD000216,,,
SHP000217,ORD000217,TRK469295712,ExpressBees,2025-02-12
SHP000218,ORD000218,,,
SHP000219,ORD000219,,,
SHP000220,ORD000220,TRK715621845,Delhivery,2026-01-26
SHP000221,ORD000221,TRK519351103,ExpressBees,2025-10-21
SHP000222,ORD000222,TRK899430764,Delhivery,2025-07-10
SHP000223,ORD000223,TRK759636601,FedEx,2025-03-16
SHP000224,ORD000224,TRK899565176,FedEx,2025-02-10
SHP000225,ORD000225,,,
SHP000226,ORD000226,TRK579132746,ExpressBees,2025-07-07
SHP000227,ORD000227,TRK169410209,BlueDart,2025-06-23
SHP000228,ORD000228,TRK640662522,ExpressBees,2025-09-21
SHP000229,ORD000229,,,
SHP000230,ORD000230,,,
SHP000231,ORD000231,,,
SHP000232,ORD000232,TRK495475257,ExpressBees,2025-09-08
SHP000233,ORD000233,TRK175707926,FedEx,2025-08-25
SHP000234,ORD000234,TRK227787428,FedEx,2025-05-31
SHP000235,ORD000235,,,
SHP000236,ORD000236,TRK388199284,BlueDart,2025-02-17
SHP000237,ORD000237,,,
SHP000238,ORD000238,TRK819174682,ExpressBees,2026-01-19
SHP000239,ORD000239,TRK574321655,BlueDart,2025-03-13
SHP000240,ORD000240,TRK574119367,ExpressBees,2025-09-09
SHP000241,ORD000241,TRK600051324,Delhivery,2025-06-03
SHP000242,ORD000242,TRK995908564,Delhivery,2025-07-19
SHP000243,ORD000243,TRK227993496,Delhivery,2025-11-07
SHP000244,ORD000244,TRK512139815,FedEx,2025-04-08
SHP000245,ORD000245,,,
SHP000246,ORD000246,TRK317497025,Delhivery,2025-02-22
SHP000247,ORD000247,TRK224877510,ExpressBees,2025-10-08
SHP000248,ORD000248,,,
SHP000249,ORD000249,TRK838608572,FedEx,2025-11-29
SHP000250,ORD000250,,,
SHP000251,ORD000251,TRK439187996,FedEx,2025-03-19
SHP000252,ORD000252,TRK760845369,FedEx,2025-05-26
SHP000253,ORD000253,TRK312990653,ExpressBees,2025-02-20
SHP000254,ORD000254,TRK662223032,FedEx,2025-11-09
SHP000255,ORD000255,,,
SHP000256,ORD000256,,,
SHP000257,ORD000257,,,
SHP000258,ORD000258,TRK154173654,ExpressBees,2025-03-13
SHP000259,ORD000259,,,
SHP000260,ORD000260,,,
SHP000261,ORD000261,TRK737716180,ExpressBees,2025-04-02
SHP000262,ORD000262,TRK952647835,BlueDart,2025-03-26
SHP000263,ORD000263,TRK531166652,BlueDart,2025-03-17
SHP000264,ORD000264,TRK252823114,Delhivery,2025-11-06
SHP000265,ORD000265,TRK798675604,BlueDart,2025-09-03
SHP000266,ORD000266,TRK889961533,BlueDart,2025-06-23
SHP000267,ORD000267,TRK598889754,FedEx,2025-09-22
SHP000268,ORD000268,TRK649158961,ExpressBees,2025-10-31
SHP000269,ORD000269,,,
SHP000270,ORD000270,TRK906375107,FedEx,2025-08-22
SHP000271,ORD000271,TRK523515566,FedEx,2025-01-31
SHP000272,ORD000272,TRK938459203,FedEx,2025-12-31
SHP000273,ORD000273,TRK219497540,Delhivery,2025-05-19
SHP000274,ORD000274,TRK200314926,BlueDart,2026-01-07
SHP000275,ORD000275,,,
SHP000276,ORD000276,TRK656700923,FedEx,2025-07-09
SHP000277,ORD000277,TRK902226437,BlueDart,2025-05-20
SHP000278,ORD000278,TRK716051632,ExpressBees,2025-03-10
SHP000279,ORD000279,TRK170320217,FedEx,2025-02-25
SHP000280,ORD000280,,,
SHP000281,ORD000281,,,
SHP000282,ORD000282,,,
SHP000283,ORD000283,,,
SHP000284,ORD000284,TRK707740697,Delhivery,2025-07-12
SHP000285,ORD000285,TRK276886623,Delhivery,2025-09-07
SHP000286,ORD000286,,,
SHP000287,ORD000287,,,
SHP000288,ORD000288,TRK699738212,ExpressBees,2025-08-14
SHP000289,ORD000289,TRK347509044,Delhivery,2026-02-05
SHP000290,ORD000290,TRK836898591,ExpressBees,2025-09-17
SHP000291,ORD000291,TRK867641497,BlueDart,2025-03-09
SHP000292,ORD000292,TRK401181471,ExpressBees,2025-01-05
SHP000293,ORD000293,TRK929845937,FedEx,2025-10-24
SHP000294,ORD000294,,,
SHP000295,ORD000295,,,
SHP000296,ORD000296,,,
SHP000297,ORD000297,,,
SHP000298,ORD000298,TRK926870236,Delhivery,2025-01-02
SHP000299,ORD000299,TRK864509663,Delhivery,2026-01-01
SHP000300,ORD000300,,,
SHP000301,ORD000301,TRK834728553,FedEx,2025-01-11
SHP000302,ORD000302,TRK388292304,Delhivery,2026-01-12
SHP000303,ORD000303,TRK139367445,FedEx,2025-01-29
SHP000304,ORD000304,,,
SHP000305,ORD000305,,,
SHP000306,ORD000306,TRK999090050,Delhivery,2025-07-26
SHP000307,ORD000307,TRK240234181,Delhivery,2025-04-26
SHP000308,ORD000308,TRK565681236,FedEx,2025-12-30
SHP000309,ORD000309,,,
SHP000310,ORD000310,,,
SHP000311,ORD000311,TRK788400351,FedEx,2025-05-23
SHP000312,ORD000312,,,
SHP000313,ORD000313,TRK866089725,Delhivery,2025-08-25
SHP000314,ORD000314,TRK981593917,Delhivery,2025-03-30
SHP000315,ORD000315,TRK148798265,Delhivery,2025-04-21
SHP000316,ORD000316,,,
SHP000317,ORD000317,TRK817420704,BlueDart,2025-05-24
SHP000318,ORD000318,TRK650662237,BlueDart,2025-08-31
SHP000319,ORD000319,TRK341269196,ExpressBees,2025-04-04
SHP000320,ORD000320,,,
SHP000321,ORD000321,TRK457427097,BlueDart,2025-03-27
SHP000322,ORD000322,TRK810487100,BlueDart,2025-10-16
SHP000323,ORD000323,TRK696180512,ExpressBees,2025-11-12
SHP000324,ORD000324,TRK886830707,Delhivery,2025-06-19
SHP000325,ORD000325,TRK682162970,ExpressBees,2026-01-08
SHP000326,ORD000326,,,
SHP000327,ORD000327,TRK901550317,BlueDart,2025-01-04
SHP000328,ORD000328,TRK708351109,BlueDart,2025-02-02
SHP000329,ORD000329,TRK598816446,ExpressBees,2025-02-18
SHP000330,ORD000330,TRK402894117,Delhivery,2025-09-09
SHP000331,ORD000331,,,
SHP000332,ORD000332,TRK780933150,Delhivery,2025-12-03
SHP000333,ORD000333,TRK787190716,FedEx,2025-09-23
SHP000334,ORD000334,TRK327978246,FedEx,2025-04-06
SHP000335,ORD000335,TRK502334385,Delhivery,2025-03-27
SHP000336,ORD000336,TRK793172272,FedEx,2025-12-21
SHP000337,ORD000337,TRK427907517,FedEx,2025-05-16
SHP000338,ORD000338,TRK165254918,ExpressBees,2026-01-04
SHP000339,ORD000339,TRK930126906,BlueDart,2025-08-21
SHP000340,ORD000340,TRK646611952,Delhivery,2025-05-06
SHP000341,ORD000341,TRK952747740,FedEx,2025-02-18
SHP000342,ORD000342,TRK438276898,BlueDart,2025-03-12
SHP000343,ORD000343,TRK932110137,Delhivery,2025-08-04
SHP000344,ORD000344,TRK689045691,FedEx,2025-02-08
SHP000345,ORD000345,TRK411578736,BlueDart,2025-07-20
SHP000346,ORD000346,TRK270887083,FedEx,2025-10-07
SHP000347,ORD000347,TRK101529062,ExpressBees,2026-02-02
SHP000348,ORD000348,TRK421633438,BlueDart,2025-07-14
SHP000349,ORD000349,TRK756034989,FedEx,2025-01-06
SHP000350,ORD000350,TRK917478678,BlueDart,2025-09-07
SHP000351,ORD000351,,,
SHP000352,ORD000352,TRK489122700,Delhivery,2025-02-01
SHP000353,ORD000353,TRK774880226,BlueDart,2025-07-01
SHP000354,ORD000354,TRK369553535,ExpressBees,2025-10-17
SHP000355,ORD000355,,,
SHP000356,ORD000356,TRK762219467,Delhivery,2025-12-27
SHP000357,ORD000357,TRK292401397,Delhivery,2026-01-24
SHP000358,ORD000358,TRK640852035,Delhivery,2025-02-03
SHP000359,ORD000359,,,
SHP000360,ORD000360,TRK631891034,Delhivery,2025-03-02
SHP000361,ORD000361,,,
SHP000362,ORD000362,TRK517292664,FedEx,2025-07-13
SHP000363,ORD000363,,,
SHP000364,ORD000364,TRK602115334,BlueDart,2025-11-12
SHP000365,ORD000365,TRK819119202,FedEx,2025-04-05
SHP000366,ORD000366,TRK464028588,BlueDart,2025-08-29
SHP000367,ORD000367,TRK565444876,ExpressBees,2025-02-28
SHP000368,ORD000368,,,
SHP000369,ORD000369,TRK584513578,Delhivery,2025-02-15
SHP000370,ORD000370,,,
SHP000371,ORD000371,TRK439122333,Delhivery,2025-04-08
SHP000372,ORD000372,TRK344283127,Delhivery,2025-08-10
SHP000373,ORD000373,TRK905351776,FedEx,2025-02-13
SHP000374,ORD000374,TRK659130574,FedEx,2026-01-20
SHP000375,ORD000375,TRK539514235,BlueDart,2025-01-26
SHP000376,ORD000376,,,
SHP000377,ORD000377,TRK539157488,FedEx,2025-07-08
SHP000378,ORD000378,TRK701881730,Delhivery,2025-04-28
SHP000379,ORD000379,TRK655103574,Delhivery,2025-08-15
SHP000380,ORD000380,TRK181809566,Delhivery,2025-01-30
SHP000381,ORD000381,,,
SHP000382,ORD000382,TRK434877192,Delhivery,2025-03-13
SHP000383,ORD000383,,,
SHP000384,ORD000384,TRK467779057,Delhivery,2025-01-26
SHP000385,ORD000385,TRK793030760,ExpressBees,2025-01-18
SHP000386,ORD000386,TRK328208825,ExpressBees,2025-08-26
SHP000387,ORD000387,,,
SHP000388,ORD000388,TRK910657877,Delhivery,2025-08-10
SHP000389,ORD000389,TRK735320084,Delhivery,2025-11-01
SHP000390,ORD000390,TRK986615053,FedEx,2025-06-13
SHP000391,ORD000391,,,
SHP000392,ORD000392,TRK239703352,BlueDart,2025-01-10
SHP000393,ORD000393,TRK822034347,FedEx,2025-01-04
SHP000394,ORD000394,TRK429298780,Delhivery,2025-09-08
SHP000395,ORD000395,TRK976545179,FedEx,2025-05-13
SHP000396,ORD000396,TRK193557216,BlueDart,2025-12-26
SHP000397,ORD000397,,,
SHP000398,ORD000398,TRK954521382,FedEx,2025-02-15
SHP000399,ORD000399,TRK314642484,BlueDart,2025-09-17
SHP000400,ORD000400,,,
SHP000401,ORD000401,TRK897628702,FedEx,2025-06-10
SHP000402,ORD000402,,,
SHP000403,ORD000403,TRK317738024,FedEx,2026-01-03
SHP000404,ORD000404,,,
SHP000405,ORD000405,TRK624442783,BlueDart,2025-12-27
SHP000406,ORD000406,,,
SHP000407,ORD000407,TRK318741327,FedEx,2025-04-29
SHP000408,ORD000408,,,
SHP000409,ORD000409,TRK301969825,FedEx,2025-03-15
SHP000410,ORD000410,TRK962186003,ExpressBees,2025-10-21
SHP000411,ORD000411,,,
SHP000412,ORD000412,TRK285971237,ExpressBees,2025-08-30
SHP000413,ORD000413,TRK524405400,FedEx,2025-08-01
SHP000414,ORD000414,TRK807362396,ExpressBees,2025-11-03
SHP000415,ORD000415,TRK425382771,FedEx,2025-10-15
SHP000416,ORD000416,,,
SHP000417,ORD000417,TRK155759074,Delhivery,2025-04-22
SHP000418,ORD000418,TRK658829062,Delhivery,2025-08-02
SHP000419,ORD000419,TRK203798372,ExpressBees,2025-06-29
SHP000420,ORD000420,,,
SHP000421,ORD000421,TRK745005137,Delhivery,2025-11-02
SHP000422,ORD000422,TRK782493454,BlueDart,2025-05-14
SHP000423,ORD000423,TRK421284431,BlueDart,2025-05-26
SHP000424,ORD000424,TRK433010529,ExpressBees,2025-09-02
SHP000425,ORD000425,TRK407680516,Delhivery,2026-01-29
SHP000426,ORD000426,TRK703479440,ExpressBees,2025-03-04
SHP000427,ORD000427,TRK712633083,FedEx,2025-08-02
SHP000428,ORD000428,TRK164579069,ExpressBees,2026-01-13
SHP000429,ORD000429,,,
SHP000430,ORD000430,,,
SHP000431,ORD000431,,,
SHP000432,ORD000432,,,
SHP000433,ORD000433,,,
SHP000434,ORD000434,,,
SHP000435,ORD000435,TRK924561007,BlueDart,2025-04-15
SHP000436,ORD000436,TRK256592087,FedEx,2025-06-12
SHP000437,ORD000437,TRK125658840,ExpressBees,2025-10-06
SHP000438,ORD000438,TRK659328516,BlueDart,2025-02-13
SHP000439,ORD000439,,,
SHP000440,ORD000440,,,
SHP000441,ORD000441,TRK418518481,FedEx,2026-01-09
SHP000442,ORD000442,TRK250832835,Delhivery,2026-02-04
SHP000443,ORD000443,TRK954959228,BlueDart,2025-02-08
SHP000444,ORD000444,TRK602047677,FedEx,2025-01-21
SHP000445,ORD000445,,,
SHP000446,ORD000446,TRK350864631,BlueDart,2025-06-21
SHP000447,ORD000447,,,
SHP000448,ORD000448,,,
SHP000449,ORD000449,TRK482827208,Delhivery,2025-07-03
SHP000450,ORD000450,TRK755181075,FedEx,2026-02-03
SHP000451,ORD000451,TRK724442932,FedEx,2025-10-18
SHP000452,ORD000452,TRK217197934,ExpressBees,2025-12-09
SHP000453,ORD000453,TRK713874769,ExpressBees,2025-11-11
SHP000454,ORD000454,,,
SHP000455,ORD000455,,,
SHP000456,ORD000456,,,
SHP000457,ORD000457,TRK237216886,Delhivery,2025-04-05
SHP000458,ORD000458,TRK199934603,Delhivery,2025-02-07
SHP000459,ORD000459,TRK438945904,ExpressBees,2025-08-30
SHP000460,ORD000460,TRK611648365,ExpressBees,2025-06-03
SHP000461,ORD000461,,,
SHP000462,ORD000462,,,
SHP000463,ORD000463,TRK817294974,Delhivery,2025-07-05
SHP000464,ORD000464,TRK644217930,BlueDart,2025-08-16
SHP000465,ORD000465,TRK559563656,FedEx,2025-05-14
SHP000466,ORD000466,TRK977380506,ExpressBees,2025-09-28
SHP000467,ORD000467,,,
SHP000468,ORD000468,,,
SHP000469,ORD000469,TRK376166114,BlueDart,2025-06-24
SHP000470,ORD000470,,,
SHP000471,ORD000471,TRK856702381,BlueDart,2025-08-06
SHP000472,ORD000472,,,
SHP000473,ORD000473,,,
SHP000474,ORD000474,,,
SHP000475,ORD000475,TRK396429211,Delhivery,2025-05-22
SHP000476,ORD000476,TRK863993867,BlueDart,2025-10-08
SHP000477,ORD000477,TRK669918715,Delhivery,2025-08-14
SHP000478,ORD000478,,,
SHP000479,ORD000479,TRK987972756,ExpressBees,2026-01-19
SHP000480,ORD000480,TRK906864812,ExpressBees,2025-08-09
SHP000481,ORD000481,TRK275205765,BlueDart,2025-08-19
SHP000482,ORD000482,,,
SHP000483,ORD000483,TRK705162175,FedEx,2025-10-30
SHP000484,ORD000484,TRK565163433,BlueDart,2025-10-09
SHP000485,ORD000485,TRK185137631,BlueDart,2025-04-24
SHP000486,ORD000486,TRK965075391,ExpressBees,2026-01-06
SHP000487,ORD000487,TRK280096457,ExpressBees,2025-05-10
SHP000488,ORD000488,,,
SHP000489,ORD000489,TRK113531224,BlueDart,2025-10-08
SHP000490,ORD000490,,,
SHP000491,ORD000491,TRK947889467,FedEx,2025-04-12
SHP000492,ORD000492,,,
SHP000493,ORD000493,TRK436221264,ExpressBees,2025-06-06
SHP000494,ORD000494,TRK259128163,ExpressBees,2025-04-02
SHP000495,ORD000495,TRK824765486,Delhivery,2025-06-15
SHP000496,ORD000496,TRK648174241,BlueDart,2025-04-30
SHP000497,ORD000497,TRK580345249,BlueDart,2025-07-17
SHP000498,ORD000498,TRK129382451,BlueDart,2025-11-21
SHP000499,ORD000499,TRK138214757,Delhivery,2025-06-03
SHP000500,ORD000500,TRK229068885,ExpressBees,2025-07-28
SHP000501,ORD000501,TRK717267136,BlueDart,2025-03-13
SHP000502,ORD000502,,,
SHP000503,ORD000503,,,
SHP000504,ORD000504,,,
SHP000505,ORD000505,TRK151179655,Delhivery,2025-06-22
SHP000506,ORD000506,,,
SHP000507,ORD000507,TRK504446936,ExpressBees,2025-08-18
SHP000508,ORD000508,TRK269469744,Delhivery,2025-08-18
SHP000509,ORD000509,TRK407057945,Delhivery,2025-05-24
SHP000510,ORD000510,TRK558162442,FedEx,2025-12-30
SHP000511,ORD000511,,,
SHP000512,ORD000512,TRK908354106,FedEx,2025-07-24
SHP000513,ORD000513,TRK500094792,ExpressBees,2025-07-05
SHP000514,ORD000514,TRK263412816,FedEx,2025-08-21
SHP000515,ORD000515,TRK170530639,BlueDart,2025-11-16
SHP000516,ORD000516,TRK774648517,BlueDart,2025-06-22
SHP000517,ORD000517,,,
SHP000518,ORD000518,,,
